Thành_Phố,Thành_Phố_Encoded,Quận_Huyện,Quận_Huyện_Encoded,Giá_Cho_Thuê,Log_Giá,Diện_Tích_m2,Log_Diện_Tích,Tổng_Tiện_Ích,Máy_Lạnh,Nóng_Lạnh,Thang_Máy,Tủ_Lạnh,Máy_Giặt,Đầy_Đủ_Nội_Thất,Có_Gác_Lửng,Bảo_Vệ_An_Ninh,Giờ_Tự_Do,Không_Chung_Chủ
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,3.0,1.3862943611198906,30.0,3.4339872044851463,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Ngũ Hành Sơn,2.389770114942529,3.8,1.5686159179138452,30.0,3.4339872044851463,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Ngũ Hành Sơn,2.389770114942529,4.0,1.6094379124341003,30.0,3.4339872044851463,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Hoà Vang,1.5333333333333332,1.3,0.832909122935104,22.0,3.1354942159291497,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,2.0,1.0986122886681098,25.0,3.258096538021482,3,0,0,0,0,0,0,1,1,1,0
Đà Nẵng,2.200209497206704,Sơn Trà,2.4669736842105263,3.0,1.3862943611198906,20.0,3.044522437723423,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,1.5,0.9162907318741551,15.0,2.772588722239781,0,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,3.0,1.3862943611198906,50.0,3.9318256327243257,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,3.0,1.3862943611198906,25.0,3.258096538021482,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,1.6,0.9555114450274363,25.0,3.258096538021482,0,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,3.0,1.3862943611198906,30.0,3.4339872044851463,2,0,0,0,0,0,0,1,0,1,0
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,1.8,1.0296194171811583,31.0,3.4657359027997265,3,0,0,0,1,0,0,1,1,0,0
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,2.7,1.308332819650179,28.0,3.367295829986474,2,0,0,1,0,0,0,0,0,1,0
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,2.0,1.0986122886681098,15.0,2.772588722239781,0,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,2.0,1.0986122886681098,20.0,3.044522437723423,0,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,2.9,1.3609765531356006,20.0,3.044522437723423,2,0,0,0,0,0,0,1,1,0,0
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,3.5,1.5040773967762742,40.0,3.713572066704308,1,0,0,0,0,1,0,0,0,0,0
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,3.0,1.3862943611198906,30.0,3.4339872044851463,2,1,1,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,2.3,1.1939224684724346,33.0,3.5263605246161616,2,0,0,0,0,0,0,1,0,0,1
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,1.5,0.9162907318741551,20.0,3.044522437723423,0,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Ngũ Hành Sơn,2.389770114942529,2.5,1.252762968495368,30.0,3.4339872044851463,1,0,0,0,0,0,0,0,0,0,1
Đà Nẵng,2.200209497206704,Sơn Trà,2.4669736842105263,2.5,1.252762968495368,25.0,3.258096538021482,4,0,0,0,0,0,0,1,1,1,1
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,2.5,1.252762968495368,17.0,2.8903717578961645,3,1,1,0,0,0,0,0,1,0,0
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,3.0,1.3862943611198906,35.0,3.58351893845611,1,0,0,0,0,0,1,0,0,0,0
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,0.6,0.4700036292457355,10.0,2.3978952727983707,1,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.200209497206704,Ngũ Hành Sơn,2.389770114942529,1.2,0.7884573603642702,45.0,3.828641396489095,2,0,0,0,0,0,0,1,1,0,0
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,4.5,1.7047480922384253,40.0,3.713572066704308,4,1,1,0,0,1,0,0,1,0,0
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,1.5,0.9162907318741551,23.0,3.1780538303479458,2,0,0,0,0,0,0,1,1,0,0
Đà Nẵng,2.200209497206704,Sơn Trà,2.4669736842105263,3.0,1.3862943611198906,20.0,3.044522437723423,3,1,0,0,1,0,0,0,1,0,0
Đà Nẵng,2.200209497206704,Sơn Trà,2.4669736842105263,4.5,1.7047480922384253,30.0,3.4339872044851463,5,1,1,1,1,0,0,0,1,0,0
Đà Nẵng,2.200209497206704,Sơn Trà,2.4669736842105263,2.5,1.252762968495368,20.0,3.044522437723423,1,0,0,0,0,1,0,0,0,0,0
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,1.2,0.7884573603642702,10.0,2.3978952727983707,2,0,0,0,0,0,0,1,1,0,0
